,kod_pkd,opis,labels
18084,2892,produkcją betoniarek stacjonarnych.,216
44316,2454,firma zajmuje się odlewnictwem pozostałych metali nieżelaznych dla instrumentów.,157
57659,3020,firma zajmuje się produkcją wagonów do przewozu materiałów niebezpiecznych.,230
17865,1910,koksowaniem węgla dla odbiorców zagranicznych,85
74358,3299,firma zajmuje się produkcją modeli w skali przeznaczonych do celów demonstracyjnych.,251
5238,1089,produkcja kotletów z dodatkiem grzybów,22
7636,2553,frezowaniem elementów z aluminium.,168
24230,2222,produkcja plastikowych menzurek i opakowań specjalistycznych,108
10569,1421,produkcja koszul dziecięcych,50
18302,2892,produkcją spycharek do robót ziemnych.,216
84159,1813,"spółka holdingowa, a także dokonywanie inwestycji.",82
86159,3100,"przeprowadzanie renowacji mebli, sprzedaż odnowionych mebli i wszystko z tym związane.",238
22253,2897,produkcją drukarek 3d do tworzyw elastycznych.,221
25423,1712,"tworzeniem papieru i tektury dla wydawców, bez samego wydawania",73
96201,2042,produkcja i sprzedaż kosmetyków i produktów do pielęgnacji skóry.,96
93748,2553,"prace mechaniczne (spawanie/naprawy/konserwacja). wynajem personelu, sprzętu i towarów, sprzedaż różnorodnych towarów.",168
29685,2399,firma zajmuje się produkcją wyrobów z różnych substancji mineralnych do zastosowań przemysłu hutniczego.,141
29905,2399,firma zajmuje się produkcją włókna grafitowego do wzmocnienia materiałów ogniotrwałych.,141
102599,1103,"warzenie miodów pitnych, piwa imbirowego, piwa zbożowego i wina owocowego.",27
14608,1725,produkcja korytek na elektronarzędzia z formowanej masy,78
83226,1071,"współpracuj i zainteresuj się innymi firmami, subskrybując akcje. dalszy zakup, sprzedaż, zagospodarowanie, eksploatacja i wynajem nieruchomości.",13
21507,1612,suszeniem naturalnym drewna tartacznego,62
11634,2341,produkcja porcelanowych pater ozdobnych,123
43514,2442,firma zajmuje się produkcją aluminium stopowego do kabli.,149
6419,2551,cynkowaniem na zlecenie dla różnych gałęzi przemysłu.,166
99792,1413,produkcja i sprzedaż odzieży i wyrobów tekstylnych.,46
9829,1396,produkcja taśm klejonych specjalistycznych,41
29609,2399,firma zajmuje się produkcją wyrobów z włókna węglowego.,141
1651,1031,produkcja instant puree ziemniaczanego,4
93999,1610,produkcja i sprzedaż materiałów drzewnych.,60
93240,1611,"cięcie na wynajem/sprzedaż materiałów, wynajem siły roboczej.",61
89139,2512,"montaż, spawanie, praca przy konstrukcjach stalowych i podobne prace mechaniczne.",159
102139,1413,"krawiectwo i produkcja różnorodnych wnętrz, doradztwo w zakresie technologii informatycznych, obrót i inwestowanie w nieruchomości, papiery wartościowe i inne przedmioty majątkowe, w tym udział w innych spółkach.",46
47478,1612,firma zajmuje się konserwacją drewna farbą ochronną,62
102800,1629,"własność w innych spółkach obejmująca finansowanie spółek i projektów oraz pomoc, organizowanie i uczestnictwo w działaniach na rzecz funkcjonowania takich spółek.",71
91016,2553,mechaniczne – prace spawalnicze – prace blacharskie – wiercenie,168
14659,1073,produkcja pierogów z cebulą,15
24627,2454,odlewnictwem miedzi dla elementów przewodzących prąd.,157
7007,1105,produkcja piw mocnych eksportowych,29
12531,1621,fabrykacją mdf ogniotrwałego,63
92027,1071,"działalność piekarnicza z produkcją wypieków i sprzedażą oraz innymi rzeczami, które w naturalny sposób się z tym zbiegają.",13
108412,3109,"branża: meble | produkty: szafy, garderoby, meble kuchenne | usługi: projektowanie i montaż mebli",242
40499,1422,firma zajmuje się produkcja bielizny sportowej,51
83667,2224,inwestycje w papiery wartościowe i inne obiekty inwestycyjne.,110
44452,2511,firma zajmuje się produkcją stalowych wież radarowych.,158
6312,3100,"produkcją mebli (laboratoryjnych, szafek, stołów).",238
97273,1419,własnoręcznie produkowana odzież outdoorowa dla dzieci w żłobkach: rękawiczki/mitenki dla dzieci w wieku 4-6 lat.,48
74976,3299,"firma zajmuje się produkcją parasoli, lasek, stołków (myśliwskich).",251
103685,1399,handel: odsprzedaż domowych ozdób do włosów dla firm.,42
92919,1072,"prowadzenie działalności w zakresie rozwoju i inwestycji w innych spółkach oraz wszystkiego, co jest z nią związane.",14
102422,1106,produkcja słodu i oczywiście czynności związane z produkcją.,30
88637,1812,"produkcja graficzna, przygotowanie do druku.",81
9130,1391,produkcja dzianin laboratoryjnych,36
48921,1721,firma zajmuje się produkcja dużych pudel transportowych dla maszyn,74
96847,1512,zadania rymarza i opiekuna.,58
45024,2551,firma zajmuje się pokrywaniem metali powłokami konwersyjnymi na bazie chromu.,166
85468,1628,"prowadzenie sklepu z ramkami, zdjęciami i tym podobnymi, a także inwestowanie w akcje i udziały oraz nieruchomości.",70
44278,2454,firma zajmuje się produkcją odlewów ze stopów cynku dla motoryzacji.,157
68697,2344,firma zajmuje się produkcja ceramicznych mieszków technicznych,126
1341,1020,produkcja mączki rybnej dla drobiu,3
83523,2553,"praca warsztatowa przy produkcji maszyn i konstrukcji stalowych obejmująca obróbkę blachy, prace spawalnicze, obróbcze i montażowe zarówno we własnym warsztacie jak i na zewnątrz u klienta. firma musi także zakupić materiały związane z celem firmy.",168
56098,2821,firma zajmuje się produkcją pieców do hartowania.,205
15085,2365,produkcja dachówek z płyt celulozowo-cementowych,135
45519,2591,firma zajmuje się produkcją skrzynek metalowych do transportu żywności.,175
29940,2399,firma zajmuje się produkcją obrobionej miki dla przemysłu motoryzacyjnego.,141
67306,2225,firma zajmuje się dekoracyjnym lakierowaniem na plastiku,111
99987,3109,wnętrza mebli i warsztat meblowy.,242
4679,1085,produkcja gotowych zapiekanek ziemniaczanych,20
111239,1610,"branża: przemysł drzewny | produkty: tarcica budowlana, kantówka, łaty, kontrłaty, więźby dachowe, deski podłogowe | usługi: cięcie i suszenie drewna",60
29199,2370,firma zajmuje się produkcją płyt nagrobnych z motywami religijnymi,138
94837,1413,"projektowanie odzieży, produkcja sukienek itp. działalność krawiecka i tym podobne.",46
48074,1627,firma zajmuje się bejcowaniem ram dekoracyjnych,69
91445,2553,"handel, montaż, inżynieria, spawanie, produkcja i obsługa techniczna działalności podmorskiej, a także zainteresowanie podobnymi biznesami poprzez subskrypcję udziałów i w inny sposób.",168
48229,1627,firma zajmuje się malowaniem i bejcowaniem listew i boazerii drewnianej,69
107961,1089,produkcja artykułów spożywczych niewymienionych gdzie indziej.,22
90711,1623,produkcja i sprzedaż domków letniskowych i domów.,65
74812,3230,"firma zajmuje się produkcją łuków, kusz.",247
20539,2442,produkcją aluminium do dalszej obróbki plastycznej.,149
12040,1621,wytwarzaniem drewna utwardzonego do ram,63
9387,1393,produkcja dywanów syntetycznych,38
94878,1089,produkcja ręcznie robionych i jadalnych dekoracji do ciast.,22
5941,3320,demontażem maszyn drukarskich.,261
3268,1061,produkcja mąki warzywnej,11
43699,2443,firma zajmuje się produkcją prętów z cyny.,150
91255,1083,"palarnia kawy. przetwórstwo kawy i herbaty, sprzedaż kawy i produktów pokrewnych.",18
3090,3230,"produkcją sprzętu do wędkarstwa sportowego, w tym podbieraków.",247
40704,1429,firma zajmuje się produkcja chust ręcznie tkanych,54
38843,1103,firma zajmuje się produkcja cydrów musujących klasy premium,27
69098,2351,firma zajmuje się produkcja cementu z dodatkiem żużla,129
1032,2920,produkcją kontenerów do transportu cieczy.,224
89586,1392,napędzaj produkcję i handel.,37
80209,2830,"produkcja, import i sprzedaż wyrobów w ramach branży młynarskiej i co z tym związane, a także poprzez subskrypcję udziałów i inne sposoby zainteresowania innymi biznesami.",211
73679,3031,firma zajmuje się produkcją dronów do inspekcji infrastruktury.,232
85006,2011,"działalność, dystrybucja i sprzedaż wodoru.",87
8473,1320,produkcja tkanin bawełnianych makowego splotu,34
26147,1723,produkcja zeszytów dla uczniów i studentów,76
29794,2391,firma zajmuje się wytwarzaniem osełek do ręcznego usuwania zadziorów.,140
77371,3299,"warsztaty ramowe, działalność galeryjna (sprzedaż dzieł sztuki w imieniu artystów, w imieniu artysty), sprzedaż książek/księgarnia.",251
66911,2223,firma zajmuje się produkcja świetlików z tworzyw sztucznych,109
6992,1105,tworzeniem piwa radler,29
28567,2363,firma zajmuje się produkcja betonu wodoszczelnego klasy b40,133
56295,2830,firma zajmuje się produkcją maszyn do pielęgnowania winorośli.,211
49299,1724,firma zajmuje się produkcja tapet dekoracyjnych premium,77
21290,1814,kopertowaniem magazynów i gazet,83
102265,3299,"produkcja, produkcja, testowanie i zapewnienie jakości sprzętu bezpieczeństwa. pomoce i narzędzia do skuterów śnieżnych i quadów.",251
27722,2351,produkcja cementu do kotwienia i fugowania,129
7471,1107,produkcja napojów gazowanych smakowych premium,31
19895,2640,produkcją sprzętu audio dla pojazdów silnikowych.,184
91955,2670,produkcja i sprzedaż optycznych środków ochrony oczu oraz pozostała działalność z tym związana.,188
31898,1061,firma zajmuje się produkcja mąki ryżowej,11
100513,1392,sprzedaż/konserwacja materiałów spadochronowych. szkolenie skoczków spadochronowych.,37
37877,2790,produkcją półprzewodnikowych urządzeń do ładowania akumulatorów.,199
9886,1396,produkcja bukramu – tkanin usztywnianych,41
90170,1812,produkcja i sprzedaż samoprzylepnych tekstów i dekoracji.,81
29101,2370,firma zajmuje się produkcją nagrobków granitowych w różnych kolorach,138
56528,2892,firma zajmuje się produkcją spycharek skośnych.,216
522,2225,polerowaniem plexi reklamowych,111
58873,1812,firma zajmuje się sitodrukiem nadruków na odzieży codziennej,81
69152,2351,firma zajmuje się produkcja klinkieru dla przemysłu budowlanego,129
11356,1011,produkcja mięsa wołowego – kompleksowa obróbka mięsa wołowego,0
106565,3101,działalność restauracji i kawiarni.,239
40153,1396,firma zajmuje się produkcja taśm technicznych wielowarstwowych,41
21148,1612,wiórowaniem powierzchni drewna,62
98187,1083,produkcja kawy i herbaty.,18
57280,2931,firma zajmuje się produkcją wyposażenia elektrycznego do pojazdów silnikowych (prądnic).,225
24503,2453,produkcją odlewów z aluminium dla maszyn włókienniczych.,156
23540,2712,produkcją bezpieczników miniaturowych.,191
22180,2511,"branża: budownictwo | produkty: sceny, konstrukcje scenowe, technika estradowa | usługi: produkcja | --- | branża: technika estradowa | produkty: konstrukcje kratownicowe, rampy, podesty sceniczne, stoiska targowe, bramki ledowe, referencje, usługi wyprze",158
60225,2211,firma zajmuje się produkcja dętek dla transportu kolejowego,104
74761,3100,firma zajmuje się produkcją mebli laboratoryjnych.,238
92448,2553,"prowadzenie warsztatu mechanicznego, w tym produkcja okuć meblowych, sprzedaż, udział w innych spółkach o tej samej lub podobnej działalności, a także inwestycje finansowe.",168
27209,2343,produkcja ceramicznych izolatorów barierowych do elektrowni,125
78346,1813,"dział będzie świadczył usługi na rzecz centrali i działał w jej imieniu jako agent, pośrednik między centralą a klientami, promował sprzedaż wszystkich obecnych i przyszłych produktów wytwarzanych, wprowadzanych na rynek, sprzedawanych lub w inny sposób d",82
11054,2312,just a moment... we're checking your browser before allowing access. waiting for www.saint-gobain.pl to respond... enable javascript and cookies to continue ip: 194.165.48.1 country: pl ray id: 98754eb30e2ecbfe,115
11783,2341,produkcja naczyń z kamionki do użytku codziennego,123
95925,2562,spawanie i produkcja stali i metali.,170
110981,2733,"ta witryna używa plików cookies. korzystanie z naszego serwisu www bez zmiany ustawień dotyczących cookies oznacza, że będą one zapisane w pamięci urządzenia zobacz więcej rozumiem w zapytaniu: 0 , suma: 0 zł o nas oferta pobieranie realizacje dystrybutorzy blog news kontakt kreator o nas o nas specjalizujemy się w produkcji rozdzielnic już od 1995 roku. od samego początku naszym priorytetem było stworzenie linii produktów spełniających oczekiwania najbardziej wymagających klientów: rozdzielnic",195
74355,3299,firma zajmuje się produkcją trumien.,251
21093,2369,"kominki mikołajczyk - kominki, kominki wrocław, kominki częstochowa, kominki warszawa, kominki poznań, kominki nowoczesne",137
24618,1628,produkcja toczonych elementów drewnianych dekoracyjnych,70
54690,2630,firma zajmuje się produkcją telefonów ip.,183
43334,2434,firma zajmuje się ciągnieniem na zimno walcówki stalowej do drutu precyzyjnego.,147
3503,1071,produkcja chleba mieszanego,13
98664,1413,nawa wear to marka odzieżowa zajmująca się produkcją i sprzedażą odzieży. marka odzieżowa ma swoją siedzibę w oslo.,46
10672,2573,produkcją przebijaków.,174
23857,2452,odlewnictwem staliwa dla przemysłu cementowego.,155
20719,2442,produkcją aluminium w postaci półproduktów.,149
41045,1621,firma zajmuje się produkcja płyt pilśniowych akustycznych,63
49397,1724,firma zajmuje się produkcja tapet na bazie papieru z włóknami jutowymi,77
10245,1399,produkcja sznurowadeł dziecięcych,42
44950,2540,firma zajmuje się kuciem wałów i osi.,164
99338,3011,"produkcja miejsc do cumowania, sprzedaż kompletnych miejsc do cumowania, sprzedaż sprzętu cumowniczego, serwis przy stanowiskach cumowniczych, pomostach i posesjach.",227
10326,1399,produkcja haftów reklamowych,42
66799,2222,firma zajmuje się wytwarzaniem plastikowych opakowań na kosmetyki,108
16008,1041,produkcja olejów z nasion makadamii,7
15376,2366,produkcja zdobionych płyt gipsowych do obróbki,136
59271,1910,firma zajmuje się produkcja koksu do zastosowań elektrochemicznych,85
5619,3319,naprawą lin okrętowych.,260
59623,2051,firma zajmuje się wytwarzaniem biopaliw z trawy energetycznej,97
93077,2932,"import, pośrednictwo, produkcja, sprzedaż i co z tym związane, w tym udział w innych spółkach oraz własność i użytkowanie nieruchomości.",226
20349,2895,produkcją maszyn do cięcia wzdłużnego papieru.,219
110071,1610,+dodaj ofertę moje nuzle 187 418 ofert w jednym miejscu ... ze wszystkich portali pracy w polsce jakiej pracy szukasz? kategoria wszystkie kategorie gdzie? szukaj praca w mieście białystok (3030) bydgoszcz (1962) gdańsk (7336) katowice (3766) kraków (8159) łódź (4050) lublin (1897) poznań (5223) rzeszów (1554) szczecin (2428) warszawa (25471) wrocław (7068) więcej ... praca wg kategorii praca w piekarni praca w zakładzie administracja biurowa (13765) badania i rozwój (7340) budownictwo (24633) d,60
44600,2512,firma zajmuje się produkcją metalowych okien doświetlających.,159
1056,1013,produkcja pasztetu wieprzowego w słoikach,2
94547,2561,"obróbka powierzchni, usługi rusztowaniowe, piaskowanie.",169
18713,2391,wytwarzaniem kamieni szlifierskich do precyzyjnej obróbki (bez opraw).,140
6759,2552,termochemiczną obróbką metali na dużą skalę.,167
108921,2932,"firma rozpoczęła działalność w 1992 roku. od początku istnienia priorytetem była jakość oferowanych wyrobów oraz zadowolenie klientów po spełnieniu ich wymagań. zastosowane w zakładzie technologie w procesie produkcji zapewniają wymaganą jakość i powtarzalność wyrobów dla wymagającej branży motoryzacyjnej. zakład produkcyjno-usługowy ""marian"" jest producentem części i akcesoriów do pojazdów mechanicznych wykonywanych metodą obróbki skrawaniem na automatach tokarskich cnc wzdłużnych o przelocie w",226
60166,2120,firma zajmuje się produkcja preparatów stosowanych w gastrologii,103
13742,2896,"branża: instalacje sanitarne | produkty: zestawy fotovoltaiczne do grzannia wody, kolektory słoneczne, podgrzewacze cwu, bufory, pompy ciepła | usługi: mont aż i serwis | --- | branża: budownictwo | produkty: rury stalowe, złączki rowkowane, anvil/mech usszczelki do wody pitnej, anvil/mech do wody pitnej, usszczelki do wody pitnej grinnell, kształtki rowkowane, kształtki rowkowane ocynkowane, kształtki rowkowane do wody pitnej (spożywczej pzh), kształtki rowkowane malowane, kształtki rowkowane stal kwasoodporna, anvil/mech do wody pitnej grinnell, kształtki gwintowane czarne, złączki i kształtki gwintowane ocynkowane | usługi: brak | --- | branża: budownictwo | produkty: złączki, ksztaltki gwintowane ocynkowane, mufa korek, nypel trójnik nakrętny, zawory przeciwpożarowe, hydrant, tryskacze, akcesoria przeciwpożarowe do baterii litowo-jonowych | usługi: rowkowanie rur, gwintowanie rur, malowanie proszkowe rur, instalacja pomp ciepła | --- | branża: hydrauliczna | produkty: zestaw pv do podgrzewania ciepłej wody użytkowej, przetwornica solar boost | usługi: brak | --- | branża: produkcja tworzyw sztucznych | produkty: brak | usługi: brak",220
11148,1429,produkcja czapek promocyjnych,54
84130,2530,"działalność portmonetka, naprawy części i wyposażenia do broni, a także ogólne usługi majsterkowicza.",163
75217,2720,firma zajmuje się produkcją akumulatorów do motocykli (części).,192
108422,3312,forbidden you don't have permission to access this resource.,253
49345,1724,firma zajmuje się wytwarzaniem tapet jednobarwnych z papieru,77
40106,1396,firma zajmuje się produkcja przędzy pokrytej gumą,41
25143,1712,impregnacją papieru chemikaliami opóźniającymi palność,73
46466,2331,produkcja ozdobnych płytek ceramicznych,121
101437,3091,"sprzedaż towarów i usług w zakresie produkcji i importu rowerów elektrycznych - i innych rzeczy, które w naturalny sposób się z tym zbiegają - a także udział w innych spółkach, inwestycjach i powiązanych działaniach.",235
26546,1721,"branża: opakowania | produkty: tektura falista, opakowania | usługi: brak",74
41110,1621,firma zajmuje się tworzeniem arkuszy fornirowych barwionych na zamówienie,63
74009,3100,firma zajmuje się produkcją materaców sprężynowych.,238
6853,3011,produkcją sekcji dla promów.,227
40078,1395,firma zajmuje się produkcja włóknin zwierzęcych,40
99694,1071,produkcja i sprzedaż podpłomyków i wypieków w gospodarstwie.,13
33094,1089,firma zajmuje się produkcja półproduktów do ciast,22
26576,1724,produkcja minimalistycznych papierowych paneli ściennych,77
13542,2224,produkcja spłuczek ustępowych z tworzyw sztucznych,110
9810,1395,produkcja włóknin syntetycznych,40
15561,1039,produkcja sałatek owocowych pakowanych próżniowo,6
55154,2670,firma zajmuje się produkcją aparatów fotograficznych wielkoformatowych.,188
105985,2361,produkcja desek budowlanych leca - a także wyrobów stalowych do szalunków ścian ceglanych.,131
33185,1101,firma zajmuje się produkcja wódek czystych i gatunkowych,25
14567,2841,produkcją urządzeń do prasowania metali.,212
103465,3109,"produkcja i sprzedaż mebli, okuć i innych wyrobów drewnianych.",242
16586,2391,produkcją kamieni szlifierskich do ostrzenia narzędzi.,140
91146,1421,"producent bunadów, krawiectwo, kursy, nauczanie.",50
17285,2651,"branża: żeliwo | produkty: *żeliwne meble ogrodowe*, przedmioty zdobione, minimalistyczne formy | usługi: produkcja przedmiotów żeliwnych",185
89199,1020,przetwarzanie i konserwacja ryb. handel kioskowy z szeroką gamą towarów ze szczególnym uwzględnieniem narkotyków rekreacyjnych.,3
110305,3250,"oferta implanty zespół nasze prace galeria praca kontakt implantologia implantologia na najwyższym poziomie. odbudowa uzębienia na implantach pozwala rozwiązać wiele problemów. pomaga osiągnąć trwały efekt estetyczny i poprawia zaburzoną, poprzez utratę zębów, mechanikę narządu żucia. zobacz więcej do dyspozycji naszych pacjentów oddajemy trzy przestronne i nowoczesne gabinety. dysponujemy w pełni wyposażoną pracownią radiologiczną dzięki czemu przeprowadzamy kompleksową diagnostykę radiologiczn",249
2582,3212,produkcją wyrobów złotniczych z metali szlachetnych (zastaw stołowych).,244
20152,2441,produkcją stopów metali szlachetnych do zastosowań technicznych.,148
47639,1624,firma zajmuje się tworzeniem wyrobów bednarskich z drewna,66
100723,2630,"umowa leasingu, sprzęt telefoniczny.",183
26471,1814,obróbką wykańczającą kart pocztowych,83
58423,1814,firma zajmuje się przycinaniem i formatowaniem plakatów,83
30691,1012,firma zajmuje się konserwacją puchu gęsiego,1
62017,3031,produkcją śmigieł o zmiennym skoku.,232
3026,1051,produkcja napojów mlecznych smakowych,9
90987,2932,"handel, pośrednictwo, eksploatacja, wynajem oraz kupno i sprzedaż nieruchomości i co z tym związane. spółka może interesować się innymi firmami i spółkami.",226
74685,3320,firma zajmuje się demontażem turbin przemysłowych.,261
28110,2361,firma zajmuje się produkcja elementów betonowych do kształtowania krajobrazu,131
83214,2225,"produkcja i konserwacja wyrobów z tworzyw sztucznych, włókna szklanego.",111
8103,1310,produkcja nici handlowych,33
84354,1399,technika pikowania/łatania dla klientów. zszyj razem łaty/kawałki materiału.,42
15427,1039,produkcja owoców konserwowanych,6
92564,2553,"obróbka powierzchniowa w postaci czyszczenia suchym lodem metali, przemysłu, budownictwa, pojazdów, maszyn, urządzeń również w sektorze offshore.",168
4507,1071,"branża: piekarnictwo | produkty: chleb, bagietki | usługi: produkcja pieczywa",13
32825,1089,firma zajmuje się produkcja suplementów w aptekach,22
75160,3316,firma zajmuje się naprawą silników dla cywilnych statków pionowego startu.,257
5732,1089,produkcja miodu mieszanego,22
68160,2341,firma zajmuje się produkcja porcelanowych ozdób świątecznych kolekcjonerskich,123
6606,2815,produkcją łożysk stożkowych.,204
29992,2390,firma zajmuje się wytwarzaniem surowców mineralnych dla przemysłu farb i lakierów n.e.c.,139
7545,1814,oprawianiem prac dyplomowych,83
7314,2120,produkcja radioaktywnych znaczników diagnostycznych,103
31631,1042,firma zajmuje się produkcja margaryny do ciast francuskich,8
1353,1020,produkcja filetów rybnych świeżych,3
58864,1812,firma zajmuje się drukowaniem fotografii cyfrowych na papierze błyszczącym,81
8040,1721,"branża: opakowania | produkty: torby papierosowe, papier do toreb | usługi: banderolowanie torebek | --- | branża: produkcja opakowań | produkty: torby krzyżowe, torby klockowe | usługi: brak | --- | branża: opakowania | produkty: torby fałdowe z oknem pp, torby papierowe z oknem pp | usługi: produkcja toreb fałdowych, produkcja toreb papierowych | --- | branża: papier i opakowania | produkty: torby fałdowe z oknem pp, torby klockowe, worki papierowe, papier pakowy, papier w rolach, cięcie papieru, papier do wędlin, papier z nadrukiem | usługi: produkcja toreb fałdowych z oknem pp | --- | branża: drukarnia | produkty: papier, druki | usługi: druk offsetowy, druk cyfrowy",74
19991,2895,produkcją maszyn do kalandrowania papieru.,219
100332,3212,"pracownia złotnicza, naprawy, skup i sprzedaż biżuterii złotej i srebrnej.",244
86191,1399,"hafty na ubraniach, czapkach, kurtkach itp.",42
39626,1330,firma zajmuje się plisowaniem materiałów dekoracyjnych,35
78094,1611,"produkcja i sprzedaż drewna, dalsze świadczenie usług, naprawy i konserwacja w przemyśle mechanicznym oraz inna działalność, która naturalnie się do tego zalicza.",61
44594,2512,firma zajmuje się produkcją metalowych ścianek działowych dla magazynów.,159
78447,1089,"produkcja artykułów spożywczych, w tym kiełbas, dżemów, podpłomyków, masła, różnych jagód, owoców, warzyw i tym podobnych. towar musi być wykonany z lokalnych surowców. towar ma być sprzedawany m.in. w rekoringen i ewentualnie na różnych rynkach oraz osob",22
40840,1520,firma zajmuje się produkcja butów damskich,59
13764,2362,produkcja gipsowych płyt sufitowych designerskich,132
60435,2212,firma zajmuje się produkcja gumowych detali technicznych,105
89042,1089,poprzez spółki zależne udział w innych spółkach i przedsiębiorstwach w celu nadzorowania i promowania sprzedaży artykułów spożywczych. spółka może bezpośrednio lub pośrednio posiadać inną działalność lub w inny sposób angażować się w nią.,22
100615,3011,"produkcja i sprzedaż usług elektrycznych, głównie na rynek wtórny platform wiertniczych i statków oraz innych produktów, które w naturalny sposób się z tym pokrywają, w tym uczestnictwo w innych firmach o podobnej działalności.",227
19382,2434,ciągnieniem na zimno walcówki ze stali nierdzewnej.,147
102775,3230,produkcja i montaż ścianki wspinaczkowej.,247
81042,1628,oprawianie zdjęć oraz drobne prace w formie remontów i renowacji.,70
32986,1089,firma zajmuje się produkcja puddingu kokosowego,22
8139,1310,tworzeniem mieszanek przędz syntetycznych,33
60061,2120,firma zajmuje się produkcja leków biologicznych,103
104616,3109,produkcja pozostałych mebli.,242
12532,2712,"branża: budownictwo | produkty: brak | usługi: budowa | --- | branża: kamieniarstwo | produkty: nagrobki, pierścienie ortopedyczne w protezach kończyn dolnych | usługi: brak | --- | branża: budownictwo | produkty: materiały budowlane, konstrukcje stalowe, elementy wykończeniowe | usługi: projektowanie i nadzór budowlany | --- | branża: medycyna | produkty: pierścienie ortopedyczne | usługi: brak | --- | branża: ortopedia | produkty: pierścienie ortopedyczne | usługi: dobór pierścieni ortopedycznych | --- | branża: sport | produkty: rękawice bokserskie, ochraniacze na kolana i łokci | usługi: produkcja i dystrybucja sprzętu sportowego",191
103035,1812,"poligrafia i projektowanie, a także inna działalność, która naturalnie się z tym zbiega.",81
109150,1091,"przedsiębiorstwo paszowe suchy żywi i doradza. o firmie produkty usługi sieć sprzedaży galeria kontakt rodo krótka historia żywieniem zwierząt zajmujemy się już od kilku pokoleń. początkowo we własnym gospodarstwie, hodując bydło mleczne, trzodę chlewną oraz kury i kaczki. w 1992 roku założyliśmy rodzinną firmę i rozpoczęliśmy produkcję pasz na większą skalę. w kolejnych latach przeprowadziliśmy szereg inwestycji zwiększających wydajność produkcji i umożliwiających poszerzenia oferty produktowej",23
79444,2511,"posiadanie udziałów i papierów wartościowych w innych spółkach oraz zarządzanie zyskami z nich w ramach pozostałej działalności gospodarczej, w tym inwestycji w nieruchomości i wynajmu nieruchomości.",158
3935,1081,produkcja cukru brązowego,16
99826,1413,"szycie, montaż, haftowanie i naprawy odzieży i bielizny. jak również inne wyroby tekstylne; np. poduszki, obrusy, zasłony i tym podobne.",46
85500,2599,"produkcja znaków, urządzeń zapewniających bezpieczeństwo ruchu drogowego i inne usługi drogowe, takie jak kontrola ruchu itp.",179
15285,2365,produkcja cementowych zbiorników na chemikalia,135
110728,3030,503 service temporarily unavailable nginx,231
7658,1107,projektowaniem nowoczesnych napojów orzeźwiających,31
108709,1061,"skip to content młyn gliwice grażyna bogacz o nas produkty skup cennik kontakt nasza mąka nic nie dodano. nic nie zabrano. szanowni klienci! wszystkie oferowane produkty ponownie można zakupić bezpośrednio w naszym młynie! zapraszamy młyn gliwice, ul. pszczyńska 31 o nas młyn gliwice, to nie tylko 20-letnie doświadczenie w produkcji wysokiej jakości mąki. w naszym młynie głęboko wierzymy w to, co robimy i jak robimy, jednocześnie upewniając się, że to co robimy, robimy lepiej niż ktokolwiek. dob",11
25748,2511,budową stalowych barier dla przemysłu ciężkiego.,158
21535,1612,przygotowaniem powierzchni drewnianych pod lakier,62
81791,1051,"produkcja sera brązowego, a także poprzez subskrypcję udziałów lub zainteresowanie się innymi przedsiębiorstwami w inny sposób. ponadto rafting i prace restauratorskie, a także inne zajęcia naturalnie z tym związane.",9
19998,1071,"branża: mleczarstwo | produkty: mleko, produkty mleczne | usługi: dostarczanie mleka i produktów mlecznych do szkół",13
5302,3314,naprawą silników elektrycznych do pomp.,255
24346,1089,produkcja płynnych suplementów diety,22
31230,1031,firma zajmuje się handlem mąką ziemniaczaną krajową,4
3450,3240,produkcją ruchomych figurek.,248
4850,3312,naprawą kas fiskalnych.,253
103196,1020,leasing personelu dla firm norweskich w norwegii. wynajmowany personel będzie pracował w branży przetwórstwa rybnego.,3
19636,1812,drukowaniem dekoracyjnym na wyrobach przeznaczonych do termo-transferu,81
88320,3212,projektowanie i produkcja biżuterii srebrnej. przeprojektuj. sprzedaż artykułów gospodarstwa domowego. projektowanie i produkcja biżuterii srebrnej. wyprzedaż pozostałych wyrobów rękodzielniczych.,244
86571,1812,"sorry, you have been blocked you are unable to access b2bhint.com why have i been blocked? this website is using a security service to protect itself from online attacks. the action you just performed triggered the security solution. there are several actions that could trigger this block including submitting a certain word or phrase, a sql command or malformed data. what can i do to resolve this? you can email the site owner to let them know you were blocked. please include what you were doing",81
13984,2363,produkcja masy betonowej dla budownictwa inżynieryjnego,133
92772,2553,"przemysł mechaniczny, produkcja i naprawa urządzeń i towarów mechanicznych.",168
66874,2222,firma zajmuje się produkcja plastikowych pudeł na upominki,108
88754,1623,sprzedaż kabin i platform.,65
2853,1042,produkcja miksów tłuszczowych z oleju palmowego,8
20444,2441,odzyskiwaniem platyny z katalizatorów.,148
100426,2561,"serwis mechaniczny. spawanie, obróbka blachy, układanie rur itp.",169
67853,2331,firma zajmuje się produkcja ceramicznych kafli luksusowych,121
41229,1621,firma zajmuje się wytwarzaniem utwardzonego drewna do paneli,63
24691,2733,produkcją elektrycznych wtyków.,195
55375,2732,firma zajmuje się produkcją przewodów o specjalnej budowie.,194
5928,3320,instalowaniem automatów magazynowych.,261
